Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,SCA_PassLive,SCA_PassDead,SCA_TO,SCA_Shot,SCA_Fld,SCA_DefAct,GCA,GCA90,GCA_PassLive,GCA_PassDead,GCA_TO,GCA_Shot,GCA_Fld,GCA_DefAct
Corey Baird,us USA,"FW,MF",FC Cincinnati,29-096,1996,3.3,14,4.29,10,2,0,2,0,0,2,0.61,0,0,0,2,0,0,Matches
Cody Baker,us USA,MF,Seattle Sounders,21-119,2004,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Reed Baker-Whiting,us USA,"FW,MF",Seattle Sounders,20-036,2005,0.3,2,6.21,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Monsef Bakrar,dz ALG,"FW,MF",NYCFC,24-113,2001,3.2,9,2.83,8,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
Jonathan Bamba,ci CIV,FW,Chicago Fire,29-041,1996,9.6,35,3.66,27,0,2,3,2,1,7,0.73,5,0,1,0,0,1,Matches
Fidel Barajas,mx MEX,FW,D.C. United,19-031,2006,0.2,1,4.50,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Jesús Barea,es ESP,FW,Real Salt Lake,23-008,2002,2.0,8,3.98,3,1,0,3,1,0,0,0.00,0,0,0,0,0,0,Matches
Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
Tai Baribo,il ISR,FW,Philadelphia Union,27-111,1998,7.9,12,1.52,10,0,1,1,0,0,0,0.00,0,0,0,0,0,0,Matches
Tom Barlow,us USA,"FW,MF",Chicago Fire,29-302,1995,2.1,2,0.97,1,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
Luis Barraza,us USA,GK,D.C. United,28-179,1996,4.0,2,0.50,1,1,0,0,0,0,1,0.25,0,1,0,0,0,0,Matches
Leonardo Barroso,pt POR,DF,Chicago Fire,19-328,2005,3.0,4,1.35,4,0,0,0,0,0,2,0.67,2,0,0,0,0,0,Matches
Jacob Bartlett,us USA,MF,Sporting KC,19-211,2005,6.5,1,0.15,0,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Lucas Bartlett,us USA,DF,D.C. United,27-284,1997,10.0,7,0.70,7,0,0,0,0,0,1,0.10,1,0,0,0,0,0,Matches
Ethan Bartlow,us USA,DF,Houston Dynamo,25-093,2000,4.3,5,1.16,2,0,1,1,0,1,0,0.00,0,0,0,0,0,0,Matches
Cole Bassett,us USA,"MF,FW",Colorado Rapids,23-282,2001,9.4,29,3.08,25,1,0,2,0,1,4,0.42,4,0,0,0,0,0,Matches
Sam Bassett,us USA,MF,Colorado Rapids,22-023,2003,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Amine Bassi,fr FRA,"MF,FW",Houston Dynamo,27-160,1997,10.0,25,2.49,20,1,0,1,2,1,2,0.20,1,0,0,1,0,0,Matches
Zorhan Bassong,ca CAN,MF,Sporting KC,25-364,1999,3.5,4,1.15,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Andy Batioja,co COL,FW,Houston Dynamo,19-095,2006,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Josh Bauer,us USA,DF,Nashville SC,26-288,1998,2.4,6,2.54,6,0,0,0,0,0,1,0.42,1,0,0,0,0,0,Matches
Timo Baumgartl,de GER,DF,St. Louis,29-063,1996,4.2,2,0.48,2,0,0,0,0,0,1,0.24,1,0,0,0,0,0,Matches
Tanner Beason,us USA,DF,NE Revolution,28-044,1997,4.6,2,0.43,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Adam Beaudry,us USA,GK,Colorado Rapids,19-018,2006,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
Simon Becher,us USA,"FW,MF",St. Louis,25-290,1999,5.0,19,3.77,12,0,1,3,2,1,1,0.20,1,0,0,0,0,0,Matches
Alejandro Bedoya,us USA,"MF,FW",Philadelphia Union,38-007,1987,0.8,3,3.97,3,0,0,0,0,0,1,1.32,1,0,0,0,0,0,Matches
Jon Bell,jm JAM,DF,Seattle Sounders,27-253,1997,4.1,5,1.21,5,0,0,0,0,0,2,0.48,2,0,0,0,0,0,Matches
