,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,Unnamed: 24_level_0
,Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
101,99,Teal Bunbury,us USA,"FW,MF",Nashville SC,35-055,1990,0.4,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
102,100,Roman Bürki,ch SUI,GK,St. Louis,34-160,1990,3.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
103,Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
104,101,Evan Bush,us USA,GK,Columbus Crew,39-048,1986,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
105,102,Sergio Busquets,es ESP,MF,Inter Miami,36-281,1988,7.9,15,1.90,11,2,0,0,2,0,1,0.13,0,1,0,0,0,0,Matches
106,103,Brandon Bye,us USA,DF,NE Revolution,29-145,1995,2.9,4,1.36,3,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
107,104,Nathan Byrne,eng ENG,DF,Charlotte,32-322,1992,8.0,9,1.13,9,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
108,105,Kevin Cabral,fr FRA,FW,Colorado Rapids,25-287,1999,5.5,4,0.72,4,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
109,106,Rafael Cabral,br BRA,GK,Real Salt Lake,34-338,1990,9.0,2,0.22,1,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
110,107,Drake Callender,us USA,GK,Inter Miami,27-198,1997,1.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
111,108,Leonardo Campana,ec ECU,FW,NE Revolution,24-273,2000,3.2,9,2.81,5,1,1,2,0,0,1,0.31,1,0,0,0,0,0,Matches
112,109,George Campbell,us USA,DF,CF Montréal,23-305,2001,6.9,12,1.73,7,0,0,4,1,0,1,0.14,0,0,0,1,0,0,Matches
113,110,Reggie Cannon,us USA,DF,Colorado Rapids,26-316,1998,5.3,2,0.37,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
114,111,Gustavo Caraballo,us USA,"MF,FW",Orlando City,16-237,2008,0.1,2,20.00,1,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
115,112,Felipe Carballo,uy URU,MF,NY Red Bulls,28-201,1996,3.9,12,3.11,8,2,1,0,1,0,2,0.52,2,0,0,0,0,0,Matches
116,113,Wikelman Carmona,ve VEN,"MF,FW",NY Red Bulls,22-058,2003,3.2,6,1.85,3,0,1,1,1,0,0,0.00,0,0,0,0,0,0,Matches
117,114,Maximo Carrizo,us USA,FW,NYCFC,17-054,2008,0.2,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
118,115,Julio Cascante,cr CRC,DF,Austin,31-202,1993,2.5,2,0.81,2,0,0,0,0,0,1,0.41,1,0,0,0,0,0,Matches
119,116,Nico Cavallo,us USA,DF,NYCFC,23-117,2001,0.7,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
120,117,Brayan Ceballos,co COL,DF,NE Revolution,23-334,2001,7.0,4,0.57,3,0,0,1,0,0,0,0.00,0,0,0,0,0,0,Matches
121,118,Roman Celentano,us USA,GK,FC Cincinnati,24-221,2000,9.0,2,0.22,1,1,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
122,119,Edwin Cerrillo,us USA,"MF,DF",LA Galaxy,24-202,2000,8.0,14,1.76,13,1,0,0,0,0,1,0.13,1,0,0,0,0,0,Matches
123,120,Dylan Chambost,fr FRA,"MF,FW",Columbus Crew,27-247,1997,8.8,22,2.49,17,3,0,0,2,0,3,0.34,3,0,0,0,0,0,Matches
124,121,Tomás Chancalay,ar ARG,FW,NE Revolution,26-112,1999,0.4,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
125,122,Maxime Chanot,lu LUX,DF,LAFC,35-153,1989,0.7,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
126,123,Diego Chará,co COL,MF,Portland Timbers,39-018,1986,6.9,7,1.01,6,0,0,0,0,1,0,0.00,0,0,0,0,0,0,Matches
127,124,Gabriel Chaves,br BRA,"FW,MF",LA Galaxy,24-071,2001,8.0,24,3.00,10,4,4,5,1,0,1,0.12,1,0,0,0,0,0,Matches
128,125,Yevhen Cheberko,ua UKR,DF,Columbus Crew,27-090,1998,7.5,9,1.20,6,1,0,0,1,1,0,0.00,0,0,0,0,0,0,Matches
129,Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
130,126,Ștefan Chirilă,ro ROU,MF,FC Cincinnati,18-098,2007,0.1,1,11.25,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
131,127,Dominik Chong Qui,us USA,DF,Atlanta Utd,17-115,2007,0.7,1,1.53,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
132,128,Léo Chú,br BRA,"FW,MF",FC Dallas,25-017,2000,2.3,3,1.29,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0,Matches
